bodypartused,playerId,y,x,matchId,teamId,matchPeriod,eventSec,eventId,counter,goal,shotangle,distance_to_goal
403,38031,54,95,2499722,1628,1,2288.661605,178205277,0,0,57.78907228,6.8
402,5911,45,83,2499723,1623,0,725.762958,178214801,0,0,21.41296947,20.78845834
402,77548,65,76,2499723,1639,0,871.508779,178214652,0,0,13.5304931,31.2
402,77548,67,83,2499723,1639,0,874.345314,178214661,0,0,15.58469783,24.51774867
402,25706,72,79,2499723,1623,0,1190.187435,178215005,0,0,12.24633286,30.73759913
402,25706,59,83,2499723,1623,0,1430.877737,178215090,0,0,19.85272238,21.63330765
402,15054,73,83,2499723,1639,0,2046.092182,178214880,0,0,12.45783369,27.47216773
401,20450,24,88,2499723,1639,0,2091.065818,178214895,0,0,10.45990909,25.29822128
402,9532,30,86,2499723,1639,1,23.133141,178215088,0,0,14.43206294,23.2
402,7932,35,75,2499723,1639,1,764.476102,178215274,0,0,13.14106976,32.31098884
403,293687,52,90,2499723,1623,1,973.996866,178215908,0,0,36.32682595,12.10619676
402,293687,31,92,2499723,1623,1,1401.088454,178215997,0,0,14.03624347,17.97776404
402,15054,61,87,2499723,1639,1,1765.445088,178215488,0,0,22.26658827,17.91089054
401,8747,61,87,2499723,1639,1,2403.763544,178215659,0,0,22.26658827,17.91089054
402,15198,67,88,2499723,1639,1,2444.72204,178215667,0,0,17.02052561,19.80706945
401,49872,35,77,2499723,1639,1,2857.883487,178215756,0,0,13.93680541,30.09584689
401,105338,70,89,2499724,1611,0,665.816769,178494555,0,0,14.30149981,20.74222746
402,105338,51,74,2499724,1611,0,876.321141,178494630,0,0,14.60217585,31.21025473
401,38,26,83,2499724,1611,0,911.092204,178494646,0,0,11.98477669,28.01428207
401,38,37,71,2499724,1611,0,1474.574483,178494821,0,0,12.058722,36.32079294
402,397178,27,91,2499724,1611,0,1494.168982,178494830,0,0,11.12918929,21.33541656
